,temp,precipitation,station_id
4,59.3,12.5,6001000
5,57.0,12.4,6001000
6,53.7,11.8,6001000
7,51.4,12.6,6001000
8,48.7,3.1,6001000
9,45.1,3.1,6001000
10,41.2,2.8000000000000003,6001000
11,41.0,2.6,6001000
12,38.8,0.0,6001000
13,36.7,0.0,6001000
14,32.6,0.0,6001000
15,29.0,0.0,6001000
16,24.1,0.0,6001000
17,23.200000000000003,0.0,6001000
18,23.2,0.0,6001000
19,26.5,0.2,6001000
20,31.599999999999998,0.2,6001000
21,34.1,0.2,6001000
22,33.1,0.2,6001000
23,29.5,0.2,6001000
24,24.8,0.0,6001000
25,20.400000000000002,0.0,6001000
26,17.7,0.1,6001000
27,17.0,0.2,6001000
28,20.6,0.2,6001000
29,26.0,1.0,6001000
30,31.5,1.1,6001000
31,36.699999999999996,5.1,6001000
32,38.1,13.7,6001000
33,41.3,23.7,6001000
34,37.7,50.9,6001000
35,33.4,59.199999999999996,6001000
36,31.6,74.1,6001000
37,31.5,66.80000000000001,6001000
38,30.5,60.9,6001000
39,32.1,49.9,6001000
40,32.4,41.5,6001000
41,30.1,39.3,6001000
42,30.4,53.2,6001000
43,29.0,54.6,6001000
44,27.2,46.1,6001000
45,28.2,99.9,6001000
46,24.6,92.3,6001000
47,19.2,80.4,6001000
48,11.5,79.80000000000001,6001000
49,8.8,78.30000000000001,6001000
50,5.0,29.8,6001000
51,9.5,26.7,6001000
52,14.9,23.8,6001000
53,18.2,27.5,6001000
54,18.6,20.5,6001000
55,20.0,15.2,6001000
56,16.6,9.100000000000001,6001000
57,12.5,8.8,6001000
58,11.5,3.0,6001000
59,11.9,23.2,6001000
60,14.7,37.9,6001000
61,22.7,40.4,6001000
62,28.2,50.8,6001000
63,30.9,48.8,6001000
64,32.900000000000006,53.599999999999994,6001000
65,31.5,80.11,6001000
66,23.2,79.31,6001000
67,18.8,69.56,6001000
68,19.3,70.26,6001000
69,17.9,46.38000000000001,6001000
70,18.3,5.57,6001000
71,19.799999999999997,3.8699999999999997,6001000
72,19.1,3.02,6001000
73,17.3,2.72,6001000
74,15.2,1.6,6001000
75,10.1,1.2000000000000002,6001000
76,5.0,1.2000000000000002,6001000
77,1.9,1.2000000000000002,6001000
78,-0.8,0.0,6001000
79,2.3,13.3,6001000
80,6.6,29.8,6001000
81,14.1,43.8,6001000
82,21.8,46.9,6001000
83,27.5,48.6,6001000
84,27.799999999999997,38.5,6001000
85,27.7,22.5,6001000
86,25.9,8.5,6001000
87,23.3,6.4,6001000
88,20.6,4.7,6001000
89,17.2,2.0,6001000
90,12.9,1.6,6001000
91,7.3,2.9000000000000004,6001000
92,-2.4000000000000012,1.9000000000000001,6001000
93,-13.400000000000002,2.3000000000000003,6001000
94,-24.200000000000003,1.8000000000000003,6001000
95,-33.7,1.7000000000000002,6001000
96,-41.8,0.4,6001000
97,-45.2,0.4,6001000
98,-47.5,0.0,6001000
99,-45.4,0.0,6001000
100,-42.2,0.0,6001000
101,-39.300000000000004,0.0,6001000
102,-38.9,0.0,6001000
103,-37.2,0.0,6001000
104,-34.300000000000004,0.6,6001000
105,-28.3,2.5,6001000
106,-19.6,16.1,6001000
107,-8.400000000000002,18.8,6001000
108,2.5999999999999996,18.8,6001000
109,11.7,18.5,6001000
110,13.7,27.0,6001000
111,11.700000000000001,13.700000000000001,6001000
112,9.5,11.0,6001000
113,9.7,11.0,6001000
114,9.0,10.9,6001000
115,12.2,0.7,6001000
116,19.1,0.6000000000000001,6001000
117,23.2,0.7000000000000001,6001000
118,25.0,0.7000000000000001,6001000
119,28.0,0.5,6001000
120,31.0,0.30000000000000004,6001000
121,33.099999999999994,0.1,6001000
122,40.3,0.0,6001000
123,45.199999999999996,0.0,6001000
124,46.8,0.3,6001000
125,42.199999999999996,5.8,6001000
126,37.1,6.0,6001000
127,30.299999999999997,7.0,6001000
128,24.799999999999997,13.2,6001000
129,21.299999999999997,13.0,6001000
130,24.5,7.5,6001000
131,28.299999999999997,7.5,6001000
132,32.5,6.5,6001000
133,38.3,0.30000000000000004,6001000
134,43.099999999999994,0.2,6001000
135,48.300000000000004,0.2,6001000
136,53.4,0.0,6001000
137,55.4,0.1,6001000
138,51.300000000000004,8.9,6001000
139,48.1,10.6,6001000
140,43.3,11.200000000000001,6001000
141,40.099999999999994,11.200000000000001,6001000
142,40.5,11.100000000000001,6001000
143,47.599999999999994,2.3,6001000
144,54.1,0.7,6001000
145,60.0,0.1,6001000
146,62.099999999999994,0.1,6001000
147,62.400000000000006,0.1,6001000
148,62.599999999999994,0.1,6001000
149,62.5,0.0,6001000
150,59.900000000000006,0.2,6001000
151,58.900000000000006,0.2,6001000
152,54.699999999999996,0.2,6001000
153,51.6,0.2,6001000
154,52.0,10.2,6001000
155,51.0,13.8,6001000
156,51.2,14.2,6001000
157,53.6,14.2,6001000
158,52.1,14.3,6001000
159,43.7,4.5,6001000
160,41.7,3.1,6001000
161,41.099999999999994,10.5,6001000
162,38.699999999999996,15.5,6001000
163,38.0,17.3,6001000
164,42.800000000000004,17.3,6001000
165,44.0,17.2,6001000
166,41.1,21.0,6001000
167,37.7,22.5,6001000
168,37.2,21.1,6001000
169,36.3,23.799999999999997,6001000
170,36.7,27.0,6001000
171,36.599999999999994,17.5,6001000
172,40.8,22.9,6001000
173,40.4,30.0,6001000
174,40.1,30.700000000000003,6001000
175,38.9,37.0,6001000
176,42.0,35.6,6001000
177,45.8,26.1,6001000
178,54.300000000000004,19.9,6001000
179,66.5,16.299999999999997,6001000
180,73.80000000000001,6.5,6001000
181,77.9,8.7,6001000
182,78.5,10.8,6001000
183,74.2,44.3,6001000
184,67.9,44.4,6001000
185,69.4,45.8,6001000
186,67.8,57.7,6001000
187,66.8,57.7,6001000
188,68.0,24.0,6001000
189,68.4,27.4,6001000
190,69.0,26.200000000000003,6001000
191,76.4,11.5,6001000
192,86.7,11.7,6001000
193,86.3,15.8,6001000
194,82.89999999999999,12.3,6001000
195,79.1,10.1,6001000
196,68.3,20.3,6001000
